date, work time, hours, work
2018-2-1, 9:00-17:00, 8, ""
2018-2-2, 9:00-17:00, 8, ""
2018-2-4, 9:00-17:00, 8, ""
2018-2-5, 9:00-17:00, 8, ""
2018-2-6, 9:00-17:00, 8, ""
2018-2-7, 9:00-17:00, 8, ""
2018-2-8, 9:00-17:00, 8, ""
2018-2-9, 9:00-17:00, 8, ""
2018-2-11, 9:00-17:00, 8, ""
2018-2-12, 9:00-17:00, 8, ""
2018-2-13, 9:00-17:00, 8, ""
2018-2-14, 9:00-17:00, 8, ""
2018-2-15, 9:00-17:00, 8, ""
2018-2-16, 9:00-17:00, 8, ""
2018-2-18, 9:00-17:00, 8, ""
2018-2-19, 9:00-17:00, 8, ""
2018-2-20, 9:00-17:00, 8, ""
2018-2-21, 9:00-17:00, 8, ""
2018-2-22, 9:00-17:00, 8, "Asd, One more commit, Initial commit, "
2018-2-23, 9:00-17:00, 8, ""
2018-2-25, 9:00-17:00, 8, ""
2018-2-26, 9:00-17:00, 8, "Added query by user and date, "
2018-2-27, 9:00-17:00, 8, ""
2018-2-28, 9:00-17:00, 8, ""